Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,SXLmol_mean,SXLmol_var,SXLmol_stdev,SXLmol_max,SXLmol_min,SXLmol_median,SXLmol_muc,SXLmol_notempty,celnumber
1713,13.000000,11921.000000,12974.000000,0.000000,917.000000,998.000000,0.000000,0.000000,22.000000,8.000000,-4.000000,0.000000,0.000000,0.000000,0.719722,0.261717,-0.130859,0.000000,0.000000,0.981439,0.171240,0.000000,0.981439,0.413811,-0.000000,1.000000,2.000000,0.000000,998,917,0,996,916,0,1000,918,0,6.461538,     7.935897,     2.817072,    10.000000,     1.000000,     8.000000,    84.000000,13,959
1714,19.000000,17529.000000,4435.000000,0.000000,922.578947,233.421053,0.000000,0.000000,24.631579,54.631579,17.368421,0.000000,0.000000,0.000000,0.485833,1.077554,0.342575,0.000000,0.000000,1.563387,0.406154,0.000000,1.563387,0.637302,-0.000000,3.000000,3.000000,0.000000,233,923,0,232,920,0,236,925,0,1.105263,     0.321637,     0.567131,     2.000000,     0.000000,     1.000000,    21.000000,17,0
1715,4.000000,3682.000000,1158.000000,0.000000,920.500000,289.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,290,921,0,289,920,0,290,921,0,1.750000,     0.250000,     0.500000,     2.000000,     1.000000,     2.000000,     7.000000,4,963
1716,2.000000,1840.000000,669.000000,0.000000,920.000000,334.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,335,920,0,334,920,0,335,920,0,1.500000,     0.500000,     0.707107,     2.000000,     1.000000,     1.000000,     3.000000,2,974
1717,4.000000,3682.000000,3086.000000,0.000000,920.500000,771.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,772,921,0,771,920,0,772,921,0,2.500000,     1.000000,     1.000000,     4.000000,     2.000000,     2.000000,    10.000000,4,980
1718,11.000000,10149.000000,10493.000000,0.000000,922.636364,953.909091,0.000000,0.000000,6.909091,12.545455,1.636364,0.000000,0.000000,0.000000,0.282421,0.512817,0.066889,0.000000,0.000000,0.795239,0.140356,0.000000,0.795239,0.374642,-0.000000,2.000000,1.000000,0.000000,954,923,0,953,921,0,955,924,0,3.000000,     1.800000,     1.341641,     5.000000,     0.000000,     3.000000,    33.000000,10,982
1719,3.000000,2765.000000,3083.000000,0.000000,921.666667,1027.666667,0.000000,0.000000,0.666667,0.666667,-0.333333,0.000000,0.000000,0.000000,0.154080,0.154080,-0.077040,0.000000,0.000000,0.308161,0.017806,0.000000,0.308161,0.133437,-0.000000,1.000000,1.000000,0.000000,1028,922,0,1027,921,0,1028,922,0,54.333333,   140.333333,    11.846237,    68.000000,    47.000000,    48.000000,   163.000000,3,958
1720,8.000000,7396.000000,6580.000000,0.000000,924.500000,822.500000,0.000000,0.000000,2.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.625000,0.000000,0.000000,0.000000,0.750000,0.078125,0.000000,0.750000,0.279508,-0.000000,2.000000,1.000000,0.000000,823,925,0,822,923,0,823,926,0,1.125000,     0.410714,     0.640870,     2.000000,     0.000000,     1.000000,     9.000000,7,977
1721,2.000000,1849.000000,1524.000000,0.000000,924.500000,762.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,762,925,0,762,924,0,762,925,0,1.500000,     0.500000,     0.707107,     2.000000,     1.000000,     1.000000,     3.000000,2,985
1722,4.000000,3706.000000,2994.000000,0.000000,926.500000,748.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,749,927,0,748,926,0,749,927,0,3.750000,     6.916667,     2.629956,     6.000000,     1.000000,     2.000000,    15.000000,4,0
