Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nDSX_mean,nDSX_var,nDSX_stdev,nDSX_max,nDSX_min,nDSX_median,nDSX_muc,nDSX_notempty,cDSX_mean,cDSX_var,cDSX_stdev,cDSX_max,cDSX_min,cDSX_median,cDSX_muc,cDSX_notempty
1167,2432.000000,2644728.000000,1529892.000000,3648.000000,1087.470395,629.067434,1.500000,3040.000000,469376.940789,59925.868421,5362.855263,0.000000,0.000000,0.092951,14.351710,1.832299,0.163975,0.000000,0.000000,16.276960,27.774055,2.441806,16.276960,5.270110,1.346595,13.000000,26.000000,2.000000,629,1087,2,603,1074,0,654,1098,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2.386924,    53.889307,     7.340934,    80.000000,     0.000000,     0.000000,  5805.000000,597
1168,2016.000000,2200772.000000,869448.000000,3024.000000,1091.652778,431.273810,1.500000,2520.000000,84888.857143,99128.944444,-28244.333333,0.000000,0.000000,0.098949,3.333215,3.892361,-1.109032,0.000000,0.000000,7.324525,12.459091,1.162074,7.324525,3.529744,1.051343,16.000000,14.000000,2.000000,431,1092,2,417,1077,0,445,1108,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2.865575,   128.777455,    11.348015,   179.000000,     0.000000,     0.000000,  5777.000000,459
1169,2248.000000,2455872.000000,1746060.000000,3372.000000,1092.469751,776.717082,1.500000,2810.000000,121224.064057,92615.943060,7262.761566,0.000000,0.000000,0.095421,4.116490,3.145024,0.246627,0.000000,0.000000,7.356936,13.578539,1.229562,7.356936,3.684907,1.071314,13.000000,15.000000,2.000000,777,1092,2,763,1079,0,792,1105,3,1.564502,   380.410613,    19.504118,   255.000000,     0.000000,     0.000000,  3517.000000,16,1.972865,    32.029971,     5.659503,    55.000000,     0.000000,     0.000000,  4435.000000,677
1170,1248.000000,1359776.000000,283120.000000,1872.000000,1089.564103,226.858974,1.500000,1560.000000,41327.179487,25802.871795,-6052.717949,0.000000,0.000000,0.116102,3.075740,1.920357,-0.450468,0.000000,0.000000,5.112199,6.283652,0.662197,5.112199,2.506721,0.871624,10.000000,11.000000,2.000000,227,1090,2,216,1080,0,238,1098,3,1.430288,   362.968673,    19.051737,   255.000000,     0.000000,     0.000000,  1785.000000,7,0.356571,     2.090077,     1.445710,    17.000000,     0.000000,     0.000000,   445.000000,144
1171,2076.000000,2270628.000000,1740112.000000,3114.000000,1093.751445,838.204239,1.500000,2595.000000,103593.402697,89355.745665,38773.387283,0.000000,0.000000,0.097987,3.911671,3.374059,1.464077,0.000000,0.000000,7.383717,11.768592,1.083213,7.383717,3.430538,1.027002,14.000000,14.000000,2.000000,838,1094,2,824,1080,0,852,1106,3,1.842486,   466.663852,    21.602404,   255.000000,     0.000000,     0.000000,  3825.000000,15,2.161368,    45.197562,     6.722913,    86.000000,     0.000000,     0.000000,  4487.000000,658
1172,1344.000000,1466612.000000,378612.000000,2016.000000,1091.229167,281.705357,1.500000,1680.000000,44511.321429,31653.416667,-5125.250000,0.000000,0.000000,0.113269,3.001038,2.134133,-0.345554,0.000000,0.000000,5.248440,6.866862,0.711918,5.248440,2.620470,0.892915,10.000000,11.000000,2.000000,282,1091,2,271,1083,0,293,1101,3,2.833333,   709.583519,    26.638009,   255.000000,     0.000000,     0.000000,  3808.000000,16,1.659970,    26.826215,     5.179403,    57.000000,     0.000000,     0.000000,  2231.000000,325
1173,1488.000000,1627724.000000,1116436.000000,2232.000000,1093.900538,750.293011,1.500000,1860.000000,54532.247312,40109.279570,-6440.634409,0.000000,0.000000,0.109490,3.210082,2.361063,-0.379133,0.000000,0.000000,5.680636,8.045452,0.814111,5.680636,2.836451,0.933744,10.000000,12.000000,2.000000,750,1094,2,739,1084,0,762,1104,3,2.227823,   563.510268,    23.738371,   255.000000,     0.000000,     0.000000,  3315.000000,13,1.880376,    31.029393,     5.570403,    64.000000,     0.000000,     0.000000,  2798.000000,435
1174,6488.000000,7251268.000000,2683372.000000,9732.000000,1117.643033,413.590012,1.500000,8110.000000,772337.432799,1519441.265105,452466.468557,0.000000,0.000000,0.067020,6.382527,12.556525,3.739142,0.000000,0.000000,19.006072,67.430472,4.434142,19.006072,8.211606,1.642870,33.000000,26.000000,2.000000,414,1118,2,394,1085,0,440,1143,3,0.101264,    18.786260,     4.334312,   231.000000,     0.000000,     0.000000,   657.000000,7,2.649969,    68.645611,     8.285265,   120.000000,     0.000000,     0.000000, 17193.000000,1641
1175,3876.000000,4286796.000000,1879336.000000,5814.000000,1105.984520,484.864809,1.500000,4845.000000,316661.159959,304171.071207,-1656.111455,0.000000,0.000000,0.079576,5.200955,4.995813,-0.027201,0.000000,0.000000,10.276345,26.793680,2.067564,10.276345,5.176261,1.273952,22.000000,19.000000,2.000000,485,1106,2,466,1085,0,504,1128,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2.838751,    90.268444,     9.500971,    94.000000,     0.000000,     0.000000, 11003.000000,884
1176,3328.000000,3678760.000000,3030060.000000,4992.000000,1105.396635,910.474760,1.500000,4160.000000,189181.879808,299636.442308,-77902.682692,0.000000,0.000000,0.083724,3.807458,6.030457,-1.567863,0.000000,0.000000,9.921638,21.326185,1.716549,9.921638,4.618028,1.197343,22.000000,18.000000,2.000000,910,1105,2,896,1085,0,928,1127,3,0.919471,   233.689936,    15.286920,   255.000000,     0.000000,     0.000000,  3060.000000,12,1.516226,    38.581041,     6.211364,   129.000000,     0.000000,     0.000000,  5046.000000,770
