Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,DSXmol_mean,DSXmol_var,DSXmol_stdev,DSXmol_max,DSXmol_min,DSXmol_median,DSXmol_muc,DSXmol_notempty,celnumber
1624,4.000000,3022.000000,3734.000000,0.000000,755.500000,933.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,934,756,0,933,755,0,934,756,0,1.000000,     0.666667,     0.816497,     2.000000,     0.000000,     1.000000,     4.000000,3,0
1625,17.000000,12889.000000,3873.000000,0.000000,758.176471,227.823529,0.000000,0.000000,44.470588,22.470588,-15.470588,0.000000,0.000000,0.000000,1.017359,0.514062,-0.353923,0.000000,0.000000,1.531422,0.397725,0.000000,1.531422,0.630654,-0.000000,2.000000,3.000000,0.000000,228,758,0,225,756,0,230,760,0,0.823529,     0.279412,     0.528594,     2.000000,     0.000000,     1.000000,    14.000000,13,761
1626,6.000000,4554.000000,5655.000000,0.000000,759.000000,942.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,943,759,0,942,758,0,943,760,0,2.500000,     0.300000,     0.547723,     3.000000,     2.000000,     2.000000,    15.000000,6,781
1627,2.000000,1518.000000,311.000000,0.000000,759.000000,155.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,156,759,0,155,759,0,156,759,0,1.000000,     0.000000,     0.000000,     1.000000,     1.000000,     1.000000,     2.000000,2,0
1628,4.000000,3042.000000,3398.000000,0.000000,760.500000,849.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,850,761,0,849,760,0,850,761,0,6.250000,     4.250000,     2.061553,     9.000000,     4.000000,     6.000000,    25.000000,4,775
1629,4.000000,3046.000000,3018.000000,0.000000,761.500000,754.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,755,762,0,754,761,0,755,762,0,3.750000,     0.916667,     0.957427,     5.000000,     3.000000,     3.000000,    15.000000,4,785
1630,15.000000,11439.000000,15249.000000,0.000000,762.600000,1016.600000,0.000000,0.000000,17.600000,17.600000,-2.400000,0.000000,0.000000,0.000000,0.475763,0.475763,-0.064877,0.000000,0.000000,0.951527,0.222142,0.000000,0.951527,0.471319,-0.000000,2.000000,2.000000,0.000000,1017,763,0,1015,761,0,1018,764,0,29.800000,    90.885714,     9.533400,    44.000000,    14.000000,    34.000000,   447.000000,15,777
1631,4.000000,3050.000000,3490.000000,0.000000,762.500000,872.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,873,763,0,872,762,0,873,763,0,3.750000,     4.916667,     2.217356,     6.000000,     1.000000,     3.000000,    15.000000,4,764
1632,6.000000,4575.000000,5604.000000,0.000000,762.500000,934.000000,0.000000,0.000000,4.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.366881,0.137580,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,934,763,0,933,762,0,935,763,0,2.833333,     3.366667,     1.834848,     4.000000,     0.000000,     4.000000,    17.000000,5,781
1633,2.000000,1526.000000,543.000000,0.000000,763.000000,271.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,272,763,0,271,763,0,272,763,0,1.500000,     0.500000,     0.707107,     2.000000,     1.000000,     1.000000,     3.000000,2,787
