Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nHH_mean,nHH_var,nHH_stdev,nHH_max,nHH_min,nHH_median,nHH_muc,nHH_notempty,cHH_mean,cHH_var,cHH_stdev,cHH_max,cHH_min,cHH_median,cHH_muc,cHH_notempty
852,1100.000000,903240.000000,1122940.000000,1650.000000,821.127272,1020.854545,1.500000,1375.000000,34104.727272,29218.181818,17808.363636,0.000000,0.000000,0.121091,3.003477,2.573137,1.568316,0.000000,0.000000,5.697705,5.944020,0.637998,5.697705,2.438036,0.860874,13.000000,13.000000,2.000000,1021,821,2,1008,810,0,1033,834,3,5.099999,  1275.649681,    35.716238,   255.000000,     0.000000,     0.000000,  5610.000000,22,4.483636,   272.244499,    16.499833,   164.000000,     0.000000,     0.000000,  4932.000000,352
853,1660.000000,1363404.000000,1053068.000000,2490.000000,821.327710,634.378313,1.500000,2075.000000,89110.419277,42365.725301,-13601.802409,0.000000,0.000000,0.105570,4.533681,2.155446,-0.692020,0.000000,0.000000,6.794698,9.999386,0.981084,6.794698,3.162180,0.993654,12.000000,17.000000,2.000000,634,821,2,619,811,0,651,833,3,15.822289,  3786.619997,    61.535518,   255.000000,     0.000000,     0.000000, 26265.000000,103,5.803012,   317.541039,    17.819681,   200.000000,     0.000000,     0.000000,  9633.000000,605
854,1272.000000,1042612.000000,1141072.000000,1908.000000,819.663522,897.069182,1.500000,1590.000000,48721.911949,27219.987421,589.610062,0.000000,0.000000,0.115366,3.535152,1.975021,0.042780,0.000000,0.000000,5.625540,7.615862,0.805280,5.625540,2.759685,0.930355,10.000000,13.000000,2.000000,897,820,2,885,811,0,910,830,3,13.030660,  3155.501026,    56.173846,   255.000000,     0.000000,     0.000000, 16575.000000,65,8.011792,   407.906233,    20.196688,   181.000000,     0.000000,     1.000000, 10191.000000,697
855,2000.000000,1658628.000000,1630252.000000,3000.000000,829.313999,815.125999,1.500000,2500.000000,65612.247999,132918.807999,42976.871999,0.000000,0.000000,0.099212,2.603823,5.274886,1.705538,0.000000,0.000000,7.977922,11.607680,1.074076,7.977922,3.407004,1.024106,17.000000,12.000000,2.000000,815,829,2,803,812,0,827,846,3,16.574999,  3953.871310,    62.879816,   255.000000,     0.000000,     0.000000, 33150.000000,130,6.856999,   339.729415,    18.431750,   193.000000,     0.000000,     0.000000, 13714.000000,884
856,2340.000000,1942480.000000,2053844.000000,3510.000000,830.119658,877.711111,1.500000,2925.000000,92544.711111,167742.495726,44940.888888,0.000000,0.000000,0.094153,2.978953,5.399521,1.446617,0.000000,0.000000,8.472629,14.781088,1.317421,8.472629,3.844618,1.096246,19.000000,16.000000,2.000000,878,830,2,862,812,0,891,849,3,16.564102,  3951.165192,    62.858294,   255.000000,     0.000000,     0.000000, 38760.000000,152,7.520512,   469.632328,    21.671002,   199.000000,     0.000000,     1.000000, 17598.000000,1173
857,1532.000000,1262788.000000,1411844.000000,2298.000000,824.274151,921.569190,1.500000,1915.000000,47271.665796,50680.856396,1560.939947,0.000000,0.000000,0.108431,2.676635,2.869671,0.088384,0.000000,0.000000,5.654739,8.274650,0.832025,5.654739,2.876569,0.940543,13.000000,12.000000,2.000000,922,824,2,910,812,0,931,837,3,11.318537,  2759.919368,    52.534934,   255.000000,     0.000000,     0.000000, 17340.000000,68,5.212793,   246.697994,    15.706622,   165.000000,     0.000000,     0.000000,  7986.000000,643
858,2868.000000,2383072.000000,760632.000000,4302.000000,830.917712,265.213389,1.500000,3585.000000,179705.405857,262080.580195,102650.359832,0.000000,0.000000,0.087979,4.410172,6.431752,2.519155,0.000000,0.000000,10.929905,22.972867,1.937229,10.929905,4.793001,1.246599,19.000000,20.000000,2.000000,265,831,2,249,813,0,285,850,3,8.091004,  1998.438523,    44.703898,   255.000000,     0.000000,     0.000000, 23205.000000,91,3.608089,    73.854025,     8.593836,    78.000000,     0.000000,     0.000000, 10348.000000,1025
859,2400.000000,1997848.000000,966616.000000,3600.000000,832.436666,402.756666,1.500000,3000.000000,76921.893333,183630.373333,5483.013333,0.000000,0.000000,0.093362,2.393875,5.714736,0.170636,0.000000,0.000000,8.201974,14.408294,1.274516,8.201974,3.795825,1.084214,18.000000,12.000000,2.000000,403,832,2,391,814,0,414,849,3,12.750000,  3089.974989,    55.587543,   255.000000,     0.000000,     0.000000, 30600.000000,120,3.794999,   129.201809,    11.366697,    97.000000,     0.000000,     0.000000,  9108.000000,682
860,2332.000000,1933868.000000,991336.000000,3498.000000,829.274442,425.101200,1.500000,2915.000000,115380.116638,174016.356775,-20652.768439,0.000000,0.000000,0.094261,3.731008,5.627109,-0.667841,0.000000,0.000000,9.452379,21.430889,1.936956,9.452379,4.629350,1.246541,23.000000,17.000000,2.000000,425,829,2,411,814,0,442,852,3,7.435677,  1841.598177,    42.913845,   255.000000,     0.000000,     0.000000, 17340.000000,68,3.893224,   159.827718,    12.642298,   176.000000,     0.000000,     0.000000,  9079.000000,793
861,1808.000000,1500900.000000,1314036.000000,2712.000000,830.143805,726.789823,1.500000,2260.000000,64812.132743,94678.610619,-31809.353982,0.000000,0.000000,0.102607,2.942558,4.298536,-1.444187,0.000000,0.000000,7.343702,11.306004,1.083840,7.343702,3.362440,1.027200,16.000000,14.000000,2.000000,727,830,2,714,814,0,741,843,3,5.923672,  1476.263124,    38.422169,   255.000000,     0.000000,     0.000000, 10710.000000,42,7.096792,   347.242978,    18.634456,   176.000000,     0.000000,     0.000000, 12831.000000,701
