Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nHH_mean,nHH_var,nHH_stdev,nHH_max,nHH_min,nHH_median,nHH_muc,nHH_notempty,cHH_mean,cHH_var,cHH_stdev,cHH_max,cHH_min,cHH_median,cHH_muc,cHH_notempty
931,3368.000000,3001772.000000,1883604.000000,5052.000000,891.262470,559.264846,1.500000,4210.000000,378295.757720,161531.976247,68169.876485,0.000000,0.000000,0.083391,7.493224,3.199600,1.350298,0.000000,0.000000,10.776215,23.043701,1.847279,10.776215,4.800385,1.226999,17.000000,25.000000,2.000000,559,891,2,538,876,0,584,908,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5.225950,   232.649555,    15.252854,   166.000000,     0.000000,     0.000000, 17601.000000,1103
932,1588.000000,1410232.000000,1383336.000000,2382.000000,888.055416,871.118388,1.500000,1985.000000,56477.743073,46211.123426,2069.581864,0.000000,0.000000,0.107142,3.048433,2.494284,0.111707,0.000000,0.000000,5.649859,8.185037,0.813334,5.649859,2.860950,0.933447,12.000000,12.000000,2.000000,871,888,2,859,876,0,883,899,3,1.747481,   436.656421,    20.896326,   255.000000,     0.000000,     0.000000,  2775.000000,12,8.316121,   468.152052,    21.636822,   155.000000,     0.000000,     0.000000, 13206.000000,794
933,1896.000000,1685368.000000,544044.000000,2844.000000,888.907173,286.943038,1.500000,2370.000000,73805.848101,75215.662447,-6802.025316,0.000000,0.000000,0.100994,3.145138,3.205215,-0.289859,0.000000,0.000000,6.451347,10.638174,1.009623,6.451347,3.261621,1.003197,13.000000,14.000000,2.000000,287,889,2,273,878,0,299,902,3,0.806962,   205.232374,    14.325934,   255.000000,     0.000000,     0.000000,  1530.000000,6,2.486814,    42.976079,     6.555614,    86.000000,     0.000000,     0.000000,  4715.000000,718
934,3540.000000,3196044.000000,2608240.000000,5310.000000,902.837288,736.790960,1.500000,4425.000000,280033.310734,368378.277966,-153104.406780,0.000000,0.000000,0.082018,5.190454,6.827939,-2.837810,0.000000,0.000000,12.100411,28.372663,2.246221,12.100411,5.326600,1.309637,24.000000,20.000000,2.000000,737,903,2,717,879,0,754,925,3,0.936441,   237.982678,    15.426687,   255.000000,     0.000000,     0.000000,  3315.000000,13,4.330791,   133.474892,    11.553133,   153.000000,     0.000000,     0.000000, 15331.000000,1646
935,2948.000000,2661000.000000,2258708.000000,4422.000000,902.645862,766.183175,1.500000,3685.000000,228105.085482,192706.279512,-42872.765265,0.000000,0.000000,0.087177,5.396328,4.558891,-1.014250,0.000000,0.000000,10.042396,24.440433,2.054981,10.042396,4.943727,1.271362,24.000000,20.000000,2.000000,766,903,2,746,879,0,785,917,3,3.113976,   784.633086,    28.011303,   255.000000,     0.000000,     0.000000,  9180.000000,36,5.636364,   346.438474,    18.612858,   207.000000,     0.000000,     0.000000, 16616.000000,1061
936,2712.000000,2420424.000000,943704.000000,4068.000000,892.486726,347.973451,1.500000,3390.000000,214894.088496,138149.522124,-27816.955752,0.000000,0.000000,0.089636,5.682048,3.652833,-0.735512,0.000000,0.000000,9.424516,21.051330,1.811945,9.424516,4.588173,1.219125,18.000000,21.000000,2.000000,348,892,2,330,880,0,369,910,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.296460,   183.463536,    13.544871,   169.000000,     0.000000,     0.000000, 11652.000000,850
937,1052.000000,938612.000000,708808.000000,1578.000000,892.216730,673.771863,1.500000,1315.000000,25121.247148,27602.585551,-12287.984791,0.000000,0.000000,0.122906,2.347939,2.579856,-1.148488,0.000000,0.000000,5.050701,5.343974,0.582366,5.050701,2.311704,0.835087,12.000000,12.000000,2.000000,674,892,2,662,880,0,683,903,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3.043726,   113.484290,    10.652901,    92.000000,     0.000000,     0.000000,  3202.000000,285
938,2032.000000,1815512.000000,1660448.000000,3048.000000,893.460630,817.149606,1.500000,2540.000000,79858.519685,93592.850394,-13956.031496,0.000000,0.000000,0.098689,3.102818,3.636451,-0.542247,0.000000,0.000000,6.837958,11.654306,1.084515,6.837958,3.413840,1.027413,16.000000,13.000000,2.000000,817,893,2,804,880,0,830,909,3,2.823327,   704.323769,    26.539099,   255.000000,     0.000000,     0.000000,  5737.000000,23,5.589567,   238.303151,    15.437071,   165.000000,     0.000000,     1.000000, 11358.000000,1060
939,1608.000000,1438364.000000,1707388.000000,2412.000000,894.504975,1061.808458,1.500000,2010.000000,73833.004975,64401.960199,35679.532338,0.000000,0.000000,0.106696,3.919246,3.418622,1.893961,0.000000,0.000000,7.444563,10.594249,1.046829,7.444563,3.254881,1.015372,15.000000,15.000000,2.000000,1062,895,2,1047,881,0,1074,910,3,2.537313,   640.975583,    25.317496,   255.000000,     0.000000,     0.000000,  4080.000000,16,1.276741,    26.349627,     5.133189,    86.000000,     0.000000,     0.000000,  2053.000000,475
940,4136.000000,3731440.000000,1722140.000000,6204.000000,902.185687,416.378143,1.500000,5170.000000,367348.584139,395465.392650,-143310.413926,0.000000,0.000000,0.077872,5.533132,5.956637,-2.158591,0.000000,0.000000,11.567641,29.194074,2.203735,11.567641,5.403154,1.301327,22.000000,20.000000,2.000000,416,902,2,396,882,0,434,924,3,0.108801,    22.998075,     4.795631,   218.000000,     0.000000,     0.000000,   450.000000,4,2.669971,    60.724186,     7.792573,    85.000000,     0.000000,     0.000000, 11043.000000,1093
