Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,MS2mol_mean,MS2mol_var,MS2mol_stdev,MS2mol_max,MS2mol_min,MS2mol_median,MS2mol_muc,MS2mol_notempty,celnumber
1453,8.000000,4745.000000,6881.000000,0.000000,593.125000,860.125000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,860,593,0,859,592,0,861,594,0,6.875000,     4.982143,     2.232071,     9.000000,     3.000000,     6.000000,    55.000000,8,0
1454,17.000000,10091.000000,15791.000000,0.000000,593.588235,928.882353,0.000000,0.000000,27.764706,18.117647,-2.823529,0.000000,0.000000,0.000000,0.635177,0.414480,-0.064594,0.000000,0.000000,1.049656,0.259095,0.000000,1.049656,0.509014,-0.000000,2.000000,2.000000,0.000000,929,594,0,927,592,0,931,595,0,68.000000,   408.125000,    20.202104,    90.000000,    21.000000,    73.000000,  1156.000000,17,581
1455,4.000000,2378.000000,598.000000,0.000000,594.500000,149.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,150,595,0,149,594,0,150,595,0,9.750000,    46.916667,     6.849574,    16.000000,     2.000000,     6.000000,    39.000000,4,576
1456,8.000000,4769.000000,913.000000,0.000000,596.125000,114.125000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,114,596,0,113,595,0,115,597,0,23.250000,    47.928571,     6.923046,    30.000000,    10.000000,    24.000000,   186.000000,8,0
1457,4.000000,2386.000000,338.000000,0.000000,596.500000,84.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,85,597,0,84,596,0,85,597,0,4.500000,     0.333333,     0.577350,     5.000000,     4.000000,     4.000000,    18.000000,4,571
1458,2.000000,1193.000000,1666.000000,0.000000,596.500000,833.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,833,597,0,833,596,0,833,597,0,8.500000,     0.500000,     0.707107,     9.000000,     8.000000,     8.000000,    17.000000,2,0
1459,4.000000,2386.000000,3810.000000,0.000000,596.500000,952.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,953,597,0,952,596,0,953,597,0,9.750000,     2.916667,     1.707825,    12.000000,     8.000000,     9.000000,    39.000000,4,586
1460,4.000000,2386.000000,3826.000000,0.000000,596.500000,956.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,957,597,0,956,596,0,957,597,0,59.000000,   228.000000,    15.099669,    74.000000,    46.000000,    46.000000,   236.000000,4,586
1461,12.000000,7201.000000,9452.000000,0.000000,600.083333,787.666667,0.000000,0.000000,12.666667,20.916667,-11.666667,0.000000,0.000000,0.000000,0.461056,0.761350,-0.424657,0.000000,0.000000,1.222406,0.170691,0.000000,1.222406,0.413148,-0.000000,2.000000,2.000000,0.000000,788,600,0,786,598,0,789,602,0,1.833333,     1.424242,     1.193416,     4.000000,     0.000000,     2.000000,    22.000000,10,0
1462,6.000000,3591.000000,5160.000000,0.000000,598.500000,860.000000,0.000000,0.000000,4.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.366881,0.137580,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,860,599,0,859,598,0,861,599,0,2.833333,     0.966667,     0.983192,     4.000000,     1.000000,     3.000000,    17.000000,6,591
