Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,MS2mol_mean,MS2mol_var,MS2mol_stdev,MS2mol_max,MS2mol_min,MS2mol_median,MS2mol_muc,MS2mol_notempty,celnumber
0,2.000000,4.000000,861.000000,0.000000,2.000000,430.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,431,2,0,430,2,0,431,2,0,8.500000,     0.500000,     0.707107,     9.000000,     8.000000,     8.000000,    17.000000,2,0
1,4.000000,18.000000,1978.000000,0.000000,4.500000,494.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,495,5,0,494,4,0,495,5,0,2.250000,     0.916667,     0.957427,     3.000000,     1.000000,     2.000000,     9.000000,4,0
2,4.000000,22.000000,1898.000000,0.000000,5.500000,474.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,475,6,0,474,5,0,475,6,0,1.750000,     0.250000,     0.500000,     2.000000,     1.000000,     2.000000,     7.000000,4,0
3,4.000000,22.000000,1930.000000,0.000000,5.500000,482.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,483,6,0,482,5,0,483,6,0,2.250000,     4.250000,     2.061553,     5.000000,     0.000000,     2.000000,     9.000000,3,0
4,4.000000,30.000000,1798.000000,0.000000,7.500000,449.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,450,8,0,449,7,0,450,8,0,0.750000,     0.250000,     0.500000,     1.000000,     0.000000,     1.000000,     3.000000,3,0
5,8.000000,73.000000,2633.000000,0.000000,9.125000,329.125000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,329,9,0,328,8,0,330,10,0,2.625000,     0.553571,     0.744024,     3.000000,     1.000000,     3.000000,    21.000000,8,0
6,2.000000,19.000000,1046.000000,0.000000,9.500000,523.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,523,10,0,523,9,0,523,10,0,2.500000,     0.500000,     0.707107,     3.000000,     2.000000,     2.000000,     5.000000,2,0
7,21.000000,261.000000,6999.000000,0.000000,12.428571,333.285714,0.000000,0.000000,22.285714,55.142857,-2.571429,0.000000,0.000000,0.000000,0.384652,0.951766,-0.044383,0.000000,0.000000,1.336418,0.364128,0.000000,1.336418,0.603431,-0.000000,3.000000,2.000000,0.000000,333,12,0,332,10,0,335,15,0,5.095238,     4.890476,     2.211442,     9.000000,     2.000000,     4.000000,   107.000000,21,0
8,1.000000,10.000000,389.000000,0.000000,10.000000,389.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,389,10,0,389,10,0,389,10,0,0.000000,     0.000000,     0.000000,     7.000000,     7.000000,     7.000000,     7.000000,1,0
9,2.000000,22.000000,753.000000,0.000000,11.000000,376.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,377,11,0,376,11,0,377,11,0,1.000000,     0.000000,     0.000000,     1.000000,     1.000000,     1.000000,     2.000000,2,2
10,10.000000,137.000000,3892.000000,0.000000,13.700000,389.200000,0.000000,0.000000,5.600000,12.100000,-2.400000,0.000000,0.000000,0.000000,0.259929,0.561632,-0.111398,0.000000,0.000000,0.821561,0.133575,0.000000,0.821561,0.365479,-0.000000,2.000000,1.000000,0.000000,389,14,0,388,12,0,390,15,0,1.600000,     0.711111,     0.843274,     3.000000,     0.000000,     2.000000,    16.000000,9,0
11,4.000000,50.000000,1994.000000,0.000000,12.500000,498.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,499,13,0,498,12,0,499,13,0,9.750000,     8.916667,     2.986079,    13.000000,     6.000000,     9.000000,    39.000000,4,0
12,4.000000,54.000000,1478.000000,0.000000,13.500000,369.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,370,14,0,369,13,0,370,14,0,14.000000,    12.000000,     3.464102,    17.000000,    11.000000,    11.000000,    56.000000,4,0
13,9.000000,164.000000,4344.000000,0.000000,18.222222,482.666667,0.000000,0.000000,12.000000,15.555556,-11.333333,0.000000,0.000000,0.000000,0.641000,0.830926,-0.605389,0.000000,0.000000,1.471925,0.166128,0.000000,1.471925,0.407588,-0.000000,2.000000,2.000000,0.000000,483,18,0,481,16,0,484,20,0,2.777778,     1.194444,     1.092906,     4.000000,     1.000000,     3.000000,    25.000000,9,4
14,4.000000,70.000000,1206.000000,0.000000,17.500000,301.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,302,18,0,301,17,0,302,18,0,3.250000,     2.250000,     1.500000,     4.000000,     1.000000,     4.000000,    13.000000,4,0
15,7.000000,140.000000,3598.000000,0.000000,20.000000,514.000000,0.000000,0.000000,4.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.298719,0.298719,0.149359,0.000000,0.000000,0.597438,0.066925,0.000000,0.597438,0.258698,-0.000000,1.000000,1.000000,0.000000,514,20,0,513,19,0,515,21,0,5.142857,     4.809524,     2.193063,     8.000000,     3.000000,     4.000000,    36.000000,7,0
16,10.000000,209.000000,2980.000000,0.000000,20.900000,298.000000,0.000000,0.000000,20.000000,4.900000,-6.000000,0.000000,0.000000,0.000000,0.928318,0.227438,-0.278495,0.000000,0.000000,1.155756,0.133575,0.000000,1.155756,0.365479,-0.000000,1.000000,2.000000,0.000000,298,21,0,296,20,0,300,22,0,2.200000,     1.955556,     1.398412,     4.000000,     0.000000,     3.000000,    22.000000,8,0
17,10.000000,215.000000,5530.000000,0.000000,21.500000,553.000000,0.000000,0.000000,6.000000,10.500000,-3.000000,0.000000,0.000000,0.000000,0.278495,0.487367,-0.139248,0.000000,0.000000,0.765862,0.116339,0.000000,0.765862,0.341086,-0.000000,2.000000,1.000000,0.000000,553,22,0,552,20,0,554,23,0,3.000000,     0.666667,     0.816497,     4.000000,     2.000000,     3.000000,    30.000000,10,0
18,7.000000,154.000000,1960.000000,0.000000,22.000000,280.000000,0.000000,0.000000,4.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.298719,0.298719,0.149359,0.000000,0.000000,0.597438,0.066925,0.000000,0.597438,0.258698,-0.000000,1.000000,1.000000,0.000000,280,22,0,279,21,0,281,23,0,1.714286,     0.238095,     0.487950,     2.000000,     1.000000,     2.000000,    12.000000,7,0
19,2.000000,44.000000,771.000000,0.000000,22.000000,385.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,386,22,0,385,22,0,386,22,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     4.000000,2,2
20,23.000000,639.000000,9962.000000,0.000000,27.782609,433.130435,0.000000,0.000000,70.608696,89.913043,-64.347826,0.000000,0.000000,0.000000,1.079496,1.374629,-0.983777,0.000000,0.000000,2.454125,0.516089,0.000000,2.454125,0.718394,-0.000000,4.000000,3.000000,0.000000,433,28,0,430,24,0,436,31,0,3.565217,     1.620553,     1.273010,     5.000000,     0.000000,     4.000000,    82.000000,22,0
21,6.000000,156.000000,2025.000000,0.000000,26.000000,337.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,338,26,0,337,25,0,338,27,0,1.833333,     1.366667,     1.169045,     4.000000,     1.000000,     1.000000,    11.000000,6,5
22,2.000000,51.000000,952.000000,0.000000,25.500000,476.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,476,26,0,476,25,0,476,26,0,2.500000,     0.500000,     0.707107,     3.000000,     2.000000,     2.000000,     5.000000,2,4
23,4.000000,106.000000,1142.000000,0.000000,26.500000,285.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,286,27,0,285,26,0,286,27,0,5.500000,     1.000000,     1.000000,     6.000000,     4.000000,     6.000000,    22.000000,4,0
24,4.000000,106.000000,1230.000000,0.000000,26.500000,307.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,308,27,0,307,26,0,308,27,0,3.750000,     1.583333,     1.258306,     5.000000,     2.000000,     4.000000,    15.000000,4,5
25,23.000000,634.000000,9151.000000,0.000000,27.565217,397.869565,0.000000,0.000000,64.608696,33.652174,6.695652,0.000000,0.000000,0.000000,0.987766,0.514489,0.102366,0.000000,0.000000,1.502254,0.497716,0.000000,1.502254,0.705490,-0.000000,2.000000,3.000000,0.000000,398,28,0,395,26,0,401,30,0,1.391304,     0.976285,     0.988071,     4.000000,     0.000000,     1.000000,    32.000000,21,0
26,4.000000,110.000000,1334.000000,0.000000,27.500000,333.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,334,28,0,333,27,0,334,28,0,3.000000,     0.666667,     0.816497,     4.000000,     2.000000,     3.000000,    12.000000,4,5
27,4.000000,110.000000,2158.000000,0.000000,27.500000,539.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,540,28,0,539,27,0,540,28,0,0.250000,     0.250000,     0.500000,     1.000000,     0.000000,     0.000000,     1.000000,1,0
28,6.000000,168.000000,3321.000000,0.000000,28.000000,553.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,554,28,0,553,27,0,554,29,0,4.500000,     5.500000,     2.345208,     7.000000,     1.000000,     4.000000,    27.000000,6,0
29,5.000000,138.000000,2856.000000,0.000000,27.600000,571.200000,0.000000,0.000000,2.800000,1.200000,-0.600000,0.000000,0.000000,0.000000,0.327490,0.140353,-0.070176,0.000000,0.000000,0.467843,0.041039,0.000000,0.467843,0.202582,-0.000000,1.000000,1.000000,0.000000,571,28,0,570,27,0,572,28,0,3.400000,     3.300000,     1.816590,     5.000000,     1.000000,     4.000000,    17.000000,5,0
30,9.000000,266.000000,2377.000000,0.000000,29.555556,264.111111,0.000000,0.000000,4.888889,10.222222,-3.555556,0.000000,0.000000,0.000000,0.261148,0.546037,-0.189926,0.000000,0.000000,0.807185,0.106525,0.000000,0.807185,0.326381,-0.000000,2.000000,1.000000,0.000000,264,30,0,263,28,0,265,31,0,2.444444,     2.027778,     1.424001,     4.000000,     0.000000,     3.000000,    22.000000,8,0
31,4.000000,118.000000,1106.000000,0.000000,29.500000,276.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,277,30,0,276,29,0,277,30,0,4.750000,     2.250000,     1.500000,     6.000000,     3.000000,     4.000000,    19.000000,4,0
32,5.000000,153.000000,2734.000000,0.000000,30.600000,546.800000,0.000000,0.000000,2.800000,1.200000,0.600000,0.000000,0.000000,0.000000,0.327490,0.140353,0.070176,0.000000,0.000000,0.467843,0.041039,0.000000,0.467843,0.202582,-0.000000,1.000000,1.000000,0.000000,547,31,0,546,30,0,548,31,0,11.400000,    42.300000,     6.503845,    18.000000,     3.000000,     9.000000,    57.000000,5,0
33,10.000000,310.000000,5785.000000,0.000000,31.000000,578.500000,0.000000,0.000000,10.500000,6.000000,-3.000000,0.000000,0.000000,0.000000,0.487367,0.278495,-0.139248,0.000000,0.000000,0.765862,0.116339,0.000000,0.765862,0.341086,-0.000000,1.000000,2.000000,0.000000,579,31,0,577,30,0,580,32,0,6.600000,     5.377778,     2.319004,     9.000000,     2.000000,     7.000000,    66.000000,10,0
34,2.000000,63.000000,1146.000000,0.000000,31.500000,573.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,573,32,0,573,31,0,573,32,0,5.000000,     0.000000,     0.000000,     5.000000,     5.000000,     5.000000,    10.000000,2,0
35,6.000000,198.000000,1833.000000,0.000000,33.000000,305.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,306,33,0,305,32,0,306,34,0,7.666667,    11.866667,     3.444803,    11.000000,     3.000000,     8.000000,    46.000000,6,7
36,4.000000,134.000000,1522.000000,0.000000,33.500000,380.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,381,34,0,380,33,0,381,34,0,5.750000,     6.916667,     2.629956,     8.000000,     3.000000,     4.000000,    23.000000,4,0
37,15.000000,549.000000,4859.000000,0.000000,36.600000,323.933333,0.000000,0.000000,22.933333,13.600000,1.600000,0.000000,0.000000,0.000000,0.619934,0.367635,0.043251,0.000000,0.000000,0.987569,0.226039,0.000000,0.987569,0.475436,-0.000000,2.000000,2.000000,0.000000,324,37,0,322,35,0,326,38,0,4.666667,     4.380952,     2.093072,     8.000000,     1.000000,     5.000000,    70.000000,15,5
38,1.000000,35.000000,549.000000,0.000000,35.000000,549.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,549,35,0,549,35,0,549,35,0,0.000000,     0.000000,     0.000000,     3.000000,     3.000000,     3.000000,     3.000000,1,0
39,6.000000,228.000000,1581.000000,0.000000,38.000000,263.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,264,38,0,263,37,0,264,39,0,2.666667,     3.066667,     1.751190,     4.000000,     0.000000,     3.000000,    16.000000,5,0
40,6.000000,224.000000,1633.000000,0.000000,37.333333,272.166667,0.000000,0.000000,6.833333,1.333333,-1.333333,0.000000,0.000000,0.000000,0.626755,0.122294,-0.122294,0.000000,0.000000,0.749048,0.061692,0.000000,0.749048,0.248379,-0.000000,1.000000,2.000000,0.000000,272,37,0,271,37,0,274,38,0,3.500000,     1.500000,     1.224745,     4.000000,     1.000000,     4.000000,    21.000000,6,7
41,6.000000,228.000000,2643.000000,0.000000,38.000000,440.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,441,38,0,440,37,0,441,39,0,9.166667,    36.966667,     6.080022,    17.000000,     1.000000,     6.000000,    55.000000,6,0
42,6.000000,225.000000,2766.000000,0.000000,37.500000,461.000000,0.000000,0.000000,4.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.366881,0.137580,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,461,38,0,460,37,0,462,38,0,4.166667,     1.366667,     1.169045,     5.000000,     2.000000,     4.000000,    25.000000,6,3
43,4.000000,150.000000,1946.000000,0.000000,37.500000,486.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,487,38,0,486,37,0,487,38,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     8.000000,4,0
44,7.000000,266.000000,3472.000000,0.000000,38.000000,496.000000,0.000000,0.000000,4.000000,4.000000,-2.000000,0.000000,0.000000,0.000000,0.298719,0.298719,-0.149359,0.000000,0.000000,0.597438,0.066925,0.000000,0.597438,0.258698,-0.000000,1.000000,1.000000,0.000000,496,38,0,495,37,0,497,39,0,1.000000,     0.666667,     0.816497,     2.000000,     0.000000,     1.000000,     7.000000,5,0
45,10.000000,395.000000,2890.000000,0.000000,39.500000,289.000000,0.000000,0.000000,6.000000,10.500000,-3.000000,0.000000,0.000000,0.000000,0.278495,0.487367,-0.139248,0.000000,0.000000,0.765862,0.116339,0.000000,0.765862,0.341086,-0.000000,2.000000,1.000000,0.000000,289,40,0,288,38,0,290,41,0,6.200000,    11.066667,     3.326660,    11.000000,     1.000000,     6.000000,    62.000000,10,7
46,10.000000,395.000000,4200.000000,0.000000,39.500000,420.000000,0.000000,0.000000,6.000000,10.500000,-3.000000,0.000000,0.000000,0.000000,0.278495,0.487367,-0.139248,0.000000,0.000000,0.765862,0.116339,0.000000,0.765862,0.341086,-0.000000,2.000000,1.000000,0.000000,420,40,0,419,38,0,421,41,0,2.500000,     0.944444,     0.971825,     3.000000,     0.000000,     3.000000,    25.000000,9,0
47,5.000000,193.000000,2829.000000,0.000000,38.600000,565.800000,0.000000,0.000000,2.800000,1.200000,0.600000,0.000000,0.000000,0.000000,0.327490,0.140353,0.070176,0.000000,0.000000,0.467843,0.041039,0.000000,0.467843,0.202582,-0.000000,1.000000,1.000000,0.000000,566,39,0,565,38,0,567,39,0,2.400000,     0.800000,     0.894427,     3.000000,     1.000000,     3.000000,    12.000000,5,0
48,4.000000,158.000000,1018.000000,0.000000,39.500000,254.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,255,40,0,254,39,0,255,40,0,2.250000,     1.583333,     1.258306,     4.000000,     1.000000,     2.000000,     9.000000,4,0
49,4.000000,158.000000,1038.000000,0.000000,39.500000,259.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,260,40,0,259,39,0,260,40,0,9.000000,     8.666667,     2.943920,    12.000000,     5.000000,     9.000000,    36.000000,4,0
50,9.000000,365.000000,2746.000000,0.000000,40.555556,305.111111,0.000000,0.000000,4.888889,10.222222,-3.555556,0.000000,0.000000,0.000000,0.261148,0.546037,-0.189926,0.000000,0.000000,0.807185,0.106525,0.000000,0.807185,0.326381,-0.000000,2.000000,1.000000,0.000000,305,41,0,304,39,0,306,42,0,25.333333,   101.500000,    10.074721,    38.000000,     7.000000,    26.000000,   228.000000,9,7
51,4.000000,158.000000,1930.000000,0.000000,39.500000,482.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,483,40,0,482,39,0,483,40,0,4.750000,     1.583333,     1.258306,     6.000000,     3.000000,     5.000000,    19.000000,4,0
52,2.000000,80.000000,1115.000000,0.000000,40.000000,557.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,558,40,0,557,40,0,558,40,0,1.500000,     0.500000,     0.707107,     2.000000,     1.000000,     1.000000,     3.000000,2,15
53,4.000000,170.000000,2302.000000,0.000000,42.500000,575.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,576,43,0,575,42,0,576,43,0,5.000000,    12.666667,     3.559026,     8.000000,     1.000000,     3.000000,    20.000000,4,15
54,1.000000,43.000000,367.000000,0.000000,43.000000,367.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,367,43,0,367,43,0,367,43,0,2.500000,     0.000000,     0.000000,     3.000000,     3.000000,     3.000000,     3.000000,1,8
55,4.000000,178.000000,1018.000000,0.000000,44.500000,254.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,255,45,0,254,44,0,255,45,0,1.500000,     1.000000,     1.000000,     2.000000,     0.000000,     2.000000,     6.000000,3,0
56,4.000000,182.000000,1806.000000,0.000000,45.500000,451.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,452,46,0,451,45,0,452,46,0,10.500000,     8.333333,     2.886751,    13.000000,     8.000000,     8.000000,    42.000000,4,18
57,16.000000,785.000000,4874.000000,0.000000,49.062500,304.625000,0.000000,0.000000,9.750000,76.937500,12.375000,0.000000,0.000000,0.000000,0.241831,1.908292,0.306939,0.000000,0.000000,2.150122,0.367272,0.000000,2.150122,0.606030,-0.000000,3.000000,2.000000,0.000000,305,49,0,303,46,0,306,52,0,3.062500,     2.595833,     1.611159,     6.000000,     1.000000,     2.000000,    49.000000,16,0
58,4.000000,186.000000,1602.000000,0.000000,46.500000,400.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,401,47,0,400,46,0,401,47,0,1.500000,     0.333333,     0.577350,     2.000000,     1.000000,     1.000000,     6.000000,4,0
59,4.000000,186.000000,1658.000000,0.000000,46.500000,414.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,415,47,0,414,46,0,415,47,0,10.750000,     4.250000,     2.061553,    13.000000,     8.000000,    11.000000,    43.000000,4,0
60,4.000000,186.000000,1842.000000,0.000000,46.500000,460.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,461,47,0,460,46,0,461,47,0,4.750000,     0.916667,     0.957427,     6.000000,     4.000000,     4.000000,    19.000000,4,0
61,4.000000,190.000000,1758.000000,0.000000,47.500000,439.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,440,48,0,439,47,0,440,48,0,1.000000,     0.000000,     0.000000,     1.000000,     1.000000,     1.000000,     4.000000,4,0
62,4.000000,190.000000,1890.000000,0.000000,47.500000,472.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,473,48,0,472,47,0,473,48,0,1.750000,     0.250000,     0.500000,     2.000000,     1.000000,     2.000000,     7.000000,4,3
63,6.000000,288.000000,3093.000000,0.000000,48.000000,515.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,516,48,0,515,47,0,516,49,0,3.333333,     1.866667,     1.366260,     5.000000,     2.000000,     3.000000,    20.000000,6,0
64,25.000000,1226.000000,15007.000000,0.000000,49.040000,600.280000,0.000000,0.000000,79.040000,32.960000,6.720000,0.000000,0.000000,0.000000,1.081252,0.450886,0.091928,0.000000,0.000000,1.532138,0.479071,0.000000,1.532138,0.692150,-0.000000,2.000000,3.000000,0.000000,600,49,0,597,47,0,603,51,0,9.520000,    11.510000,     3.392639,    17.000000,     3.000000,     9.000000,   238.000000,25,0
65,4.000000,198.000000,926.000000,0.000000,49.500000,231.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,232,50,0,231,49,0,232,50,0,4.250000,     4.250000,     2.061553,     6.000000,     2.000000,     3.000000,    17.000000,4,0
